File,Coincidence,Correlation Time,State,Channel,Structure,Weighted Mean Index,Weighted Mean Time
CH0@DT5720B_75_EspectrumF_peak_4_and2_750_ns_20250507_153147.txt,Peak 4 and 2,750ns,filtered,CH0,CH,253.284046692607,253.284046692607
CH0@DT5720B_75_EspectrumF_peak_4_and3_750_ns_20250507_153359.txt,Peak 4 and 3,750ns,filtered,CH0,CH,253.22702955626607,253.22702955626607
CH0@DT5720B_75_EspectrumF_peak_4_and4_750_ns_20250507_151921.txt,Peak 4 and 4,750ns,filtered,CH0,CH,253.40068292682926,253.40068292682926
CH0@DT5720B_75_EspectrumF_peak_4_and5_750_ns_20250507_151742.txt,Peak 4 and 5,750ns,filtered,CH0,CH,253.41294755877036,253.41294755877036
CH0@DT5720B_75_EspectrumF_peak_4_and6_750_ns_20250507_151556.txt,Peak 4 and 6,750ns,filtered,CH0,CH,253.51528930717848,253.51528930717848
CH0@DT5720B_75_EspectrumF_peak_4_and7_750_ns_20250507_151322.txt,Peak 4 and 7,750ns,filtered,CH0,CH,254.16642839536604,254.16642839536604
CH0@DT5720B_75_EspectrumF_peak_4_and8_750_ns_20250507_152153.txt,Peak 4 and 8,750ns,filtered,CH0,CH,255.29328576888776,255.29328576888776
CH0@DT5720B_75_EspectrumF_peak_4_and9_750_ns_20250507_152458.txt,Peak 4 and 9,750ns,filtered,CH0,CH,256.82338246315265,256.82338246315265
CH0@DT5720B_75_EspectrumF_peak_4_and10_750_ns_20250507_152708.txt,Peak 4 and 10,750ns,filtered,CH0,CH,258.2611218568665,258.2611218568665
CH0@DT5720B_75_Espectrum_peak_4_and1_750_ns_20250507_152849.txt,Peak 4 and 1,750ns,unfiltered,CH0,CH,229.72599191337585,229.72599191337585
CH0@DT5720B_75_Espectrum_peak_4_and2_750_ns_20250507_153147.txt,Peak 4 and 2,750ns,unfiltered,CH0,CH,229.64083179829328,229.64083179829328
CH0@DT5720B_75_Espectrum_peak_4_and3_750_ns_20250507_153359.txt,Peak 4 and 3,750ns,unfiltered,CH0,CH,229.72609774359935,229.72609774359935
CH0@DT5720B_75_Espectrum_peak_4_and4_750_ns_20250507_151921.txt,Peak 4 and 4,750ns,unfiltered,CH0,CH,229.96678097525086,229.96678097525086
CH0@DT5720B_75_Espectrum_peak_4_and5_750_ns_20250507_151742.txt,Peak 4 and 5,750ns,unfiltered,CH0,CH,230.11899524688465,230.11899524688465
CH0@DT5720B_75_Espectrum_peak_4_and6_750_ns_20250507_151556.txt,Peak 4 and 6,750ns,unfiltered,CH0,CH,230.25637522986744,230.25637522986744
CH0@DT5720B_75_Espectrum_peak_4_and7_750_ns_20250507_151322.txt,Peak 4 and 7,750ns,unfiltered,CH0,CH,230.37179618660545,230.37179618660545
CH0@DT5720B_75_Espectrum_peak_4_and8_750_ns_20250507_152153.txt,Peak 4 and 8,750ns,unfiltered,CH0,CH,230.0598825270424,230.0598825270424
CH0@DT5720B_75_Espectrum_peak_4_and9_750_ns_20250507_152457.txt,Peak 4 and 9,750ns,unfiltered,CH0,CH,229.83680558902049,229.83680558902049
CH0@DT5720B_75_Espectrum_peak_4_and10_750_ns_20250507_152708.txt,Peak 4 and 10,750ns,unfiltered,CH0,CH,229.83020635673626,229.83020635673626
CH0@DT5720B_75_EspectrumR_peak_4_and1_750_ns_20250507_152849.txt,Peak 4 and 1,750ns,raw,CH0,CH,229.72599191337585,229.72599191337585
CH0@DT5720B_75_EspectrumR_peak_4_and3_750_ns_20250507_153359.txt,Peak 4 and 3,750ns,raw,CH0,CH,229.72609774359935,229.72609774359935
CH0@DT5720B_75_EspectrumR_peak_4_and4_750_ns_20250507_151921.txt,Peak 4 and 4,750ns,raw,CH0,CH,229.96678097525086,229.96678097525086
CH0@DT5720B_75_EspectrumR_peak_4_and5_750_ns_20250507_151742.txt,Peak 4 and 5,750ns,raw,CH0,CH,230.11899524688465,230.11899524688465
CH0@DT5720B_75_EspectrumR_peak_4_and6_750_ns_20250507_151556.txt,Peak 4 and 6,750ns,raw,CH0,CH,230.25637522986744,230.25637522986744
CH0@DT5720B_75_EspectrumR_peak_4_and7_750_ns_20250507_151322.txt,Peak 4 and 7,750ns,raw,CH0,CH,230.37179618660545,230.37179618660545
CH0@DT5720B_75_EspectrumR_peak_4_and8_750_ns_20250507_152153.txt,Peak 4 and 8,750ns,raw,CH0,CH,230.0598825270424,230.0598825270424
CH0@DT5720B_75_EspectrumR_peak_4_and9_750_ns_20250507_152457.txt,Peak 4 and 9,750ns,raw,CH0,CH,229.83680558902049,229.83680558902049
CH0@DT5720B_75_EspectrumR_peak_4_and10_750_ns_20250507_152708.txt,Peak 4 and 10,750ns,raw,CH0,CH,229.83020635673626,229.83020635673626
CH1@DT5720B_75_EspectrumF_peak_4_and2_750_ns_20250507_153147.txt,Peak 4 and 2,750ns,filtered,CH1,CH,192.5875486381323,192.5875486381323
CH1@DT5720B_75_EspectrumF_peak_4_and3_750_ns_20250507_153359.txt,Peak 4 and 3,750ns,filtered,CH1,CH,219.4455041721906,219.4455041721906
CH1@DT5720B_75_EspectrumF_peak_4_and4_750_ns_20250507_151921.txt,Peak 4 and 4,750ns,filtered,CH1,CH,243.94400464576074,243.94400464576074
CH1@DT5720B_75_EspectrumF_peak_4_and5_750_ns_20250507_151742.txt,Peak 4 and 5,750ns,filtered,CH1,CH,275.7737432188065,275.7737432188065
CH1@DT5720B_75_EspectrumF_peak_4_and6_750_ns_20250507_151556.txt,Peak 4 and 6,750ns,filtered,CH1,CH,310.9057085954987,310.9057085954987
CH1@DT5720B_75_EspectrumF_peak_4_and7_750_ns_20250507_151322.txt,Peak 4 and 7,750ns,filtered,CH1,CH,346.73103278284447,346.73103278284447
CH1@DT5720B_75_EspectrumF_peak_4_and8_750_ns_20250507_152153.txt,Peak 4 and 8,750ns,filtered,CH1,CH,382.0393680723659,382.0393680723659
CH1@DT5720B_75_EspectrumF_peak_4_and9_750_ns_20250507_152458.txt,Peak 4 and 9,750ns,filtered,CH1,CH,412.28078940794404,412.28078940794404
CH1@DT5720B_75_EspectrumF_peak_4_and10_750_ns_20250507_152708.txt,Peak 4 and 10,750ns,filtered,CH1,CH,447.60696324951647,447.60696324951647
CH1@DT5720B_75_Espectrum_peak_4_and1_750_ns_20250507_152849.txt,Peak 4 and 1,750ns,unfiltered,CH1,CH,266.23095670330554,266.23095670330554
CH1@DT5720B_75_Espectrum_peak_4_and2_750_ns_20250507_153147.txt,Peak 4 and 2,750ns,unfiltered,CH1,CH,266.41129209109084,266.41129209109084
CH1@DT5720B_75_Espectrum_peak_4_and3_750_ns_20250507_153359.txt,Peak 4 and 3,750ns,unfiltered,CH1,CH,266.5866731909454,266.5866731909454
CH1@DT5720B_75_Espectrum_peak_4_and4_750_ns_20250507_151921.txt,Peak 4 and 4,750ns,unfiltered,CH1,CH,266.13064782752014,266.13064782752014
CH1@DT5720B_75_Espectrum_peak_4_and5_750_ns_20250507_151742.txt,Peak 4 and 5,750ns,unfiltered,CH1,CH,266.05674473229936,266.05674473229936
CH1@DT5720B_75_Espectrum_peak_4_and6_750_ns_20250507_151556.txt,Peak 4 and 6,750ns,unfiltered,CH1,CH,266.06987694496445,266.06987694496445
CH1@DT5720B_75_Espectrum_peak_4_and7_750_ns_20250507_151322.txt,Peak 4 and 7,750ns,unfiltered,CH1,CH,265.89003918047507,265.89003918047507
CH1@DT5720B_75_Espectrum_peak_4_and8_750_ns_20250507_152153.txt,Peak 4 and 8,750ns,unfiltered,CH1,CH,266.0499084642276,266.0499084642276
CH1@DT5720B_75_Espectrum_peak_4_and9_750_ns_20250507_152457.txt,Peak 4 and 9,750ns,unfiltered,CH1,CH,266.17193247631855,266.17193247631855
CH1@DT5720B_75_Espectrum_peak_4_and10_750_ns_20250507_152708.txt,Peak 4 and 10,750ns,unfiltered,CH1,CH,266.23372950253486,266.23372950253486
CH1@DT5720B_75_EspectrumR_peak_4_and1_750_ns_20250507_152849.txt,Peak 4 and 1,750ns,raw,CH1,CH,266.23111595402315,266.23111595402315
CH1@DT5720B_75_EspectrumR_peak_4_and3_750_ns_20250507_153359.txt,Peak 4 and 3,750ns,raw,CH1,CH,266.58684139800704,266.58684139800704
CH1@DT5720B_75_EspectrumR_peak_4_and4_750_ns_20250507_151921.txt,Peak 4 and 4,750ns,raw,CH1,CH,266.13064782752014,266.13064782752014
CH1@DT5720B_75_EspectrumR_peak_4_and5_750_ns_20250507_151742.txt,Peak 4 and 5,750ns,raw,CH1,CH,266.0571379508859,266.0571379508859
CH1@DT5720B_75_EspectrumR_peak_4_and6_750_ns_20250507_151556.txt,Peak 4 and 6,750ns,raw,CH1,CH,266.0700528974054,266.0700528974054
CH1@DT5720B_75_EspectrumR_peak_4_and7_750_ns_20250507_151322.txt,Peak 4 and 7,750ns,raw,CH1,CH,265.8903302666474,265.8903302666474
CH1@DT5720B_75_EspectrumR_peak_4_and8_750_ns_20250507_152153.txt,Peak 4 and 8,750ns,raw,CH1,CH,266.0500221112832,266.0500221112832
CH1@DT5720B_75_EspectrumR_peak_4_and9_750_ns_20250507_152457.txt,Peak 4 and 9,750ns,raw,CH1,CH,266.1722368713269,266.1722368713269
CH1@DT5720B_75_EspectrumR_peak_4_and10_750_ns_20250507_152708.txt,Peak 4 and 10,750ns,raw,CH1,CH,266.23372950253486,266.23372950253486
