Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference,gain voltage,pulse height
65.1,1.6,1,55,11684.5084361643,,65.1,1.6
65.1,1.6,2,72,18253.386651747816,17.0,65.1,1.6
65.1,1.6,3,89,16156.94654498298,17.0,65.1,1.6
65.1,1.6,4,105,10309.523931842654,16.0,65.1,1.6
65.1,1.3,2,71,25363.935881013927,16.0,65.1,1.3
65.1,1.3,1,55,42916.13463782646,,65.1,1.3
65.1,1.3,3,87,9036.606475382749,16.0,65.1,1.3
65.4,1.6,1,50,1689.084106289252,,65.4,1.6
65.4,1.6,2,75,5081.77205311522,25.0,65.4,1.6
65.4,1.6,3,100,8205.36807278944,25.0,65.4,1.6
65.4,1.6,4,125,9072.091642086143,25.0,65.4,1.6
65.4,1.6,6,176,5560.38382122157,25.0,65.4,1.6
65.4,1.6,7,198,3382.072329802954,22.0,65.4,1.6
65.4,1.6,8,221,1815.9048212974712,23.0,65.4,1.6
65.4,1.6,9,250,852.9053583310821,29.0,65.4,1.6
65.4,1.6,10,268,461.4363361265858,18.0,65.4,1.6
65.4,1.6,11,306,127.70194588615394,38.0,65.4,1.6
65.4,1.6,5,151,7802.173444128705,26.0,65.4,1.6
65.4,1.3,1,49,10772.838396867408,,65.4,1.3
65.4,1.3,7,213,235.9218601521022,35.0,65.4,1.3
65.4,1.3,2,75,15035.39383865634,26.0,65.4,1.3
65.4,1.3,3,102,11070.04725599897,27.0,65.4,1.3
65.4,1.3,4,128,5796.999203155783,26.0,65.4,1.3
65.4,1.3,5,155,2445.629262871371,27.0,65.4,1.3
65.4,1.3,6,178,872.0945876597494,23.0,65.4,1.3
65.6,1.3,4,138,6115.097981598511,31.0,65.6,1.3
65.6,1.3,5,167,3014.977301206796,29.0,65.6,1.3
65.6,1.3,6,200,1257.5328941441603,33.0,65.6,1.3
65.6,1.3,7,229,473.7995651631368,29.0,65.6,1.3
65.6,1.3,8,254,170.71218678517243,25.0,65.6,1.3
65.6,1.6,13,407,205.37171413454172,18.0,65.6,1.6
65.6,1.6,2,75,1598.3275921526356,30.0,65.6,1.6
65.6,1.6,12,389,294.23704801527276,36.0,65.6,1.6
65.6,1.6,11,353,614.8987983590878,29.0,65.6,1.6
65.6,1.6,10,324,1121.7775361574047,26.0,65.6,1.6
65.6,1.6,9,298,1935.6687608079765,32.0,65.6,1.6
65.6,1.6,8,266,3106.713993852523,31.0,65.6,1.6
65.6,1.6,7,235,4423.470660669118,32.0,65.6,1.6
65.6,1.6,6,203,5481.024474387439,32.0,65.6,1.6
65.6,1.6,5,171,5883.171734350815,32.0,65.6,1.6
65.6,1.3,3,107,9772.091443743286,30.0,65.6,1.3
65.6,1.6,4,139,5106.390360656016,31.0,65.6,1.6
65.6,1.6,3,108,3430.14638634235,33.0,65.6,1.6
65.6,1.6,1,45,371.75647072638816,,65.6,1.6
65.6,1.3,2,77,10981.362472498677,32.0,65.6,1.3
65.6,1.6,14,425,125.5976073900788,18.0,65.6,1.6
65.6,1.3,1,45,6643.561128357946,,65.6,1.3
65.7,1.3,3,110,8411.715896450563,34.0,65.7,1.3
65.7,1.6,17,479,103.69141685326268,15.0,65.7,1.6
65.7,1.3,1,42,4258.651010595301,,65.7,1.3
65.7,1.3,2,76,8248.5845276438,34.0,65.7,1.3
65.7,1.3,4,144,5932.858727796001,34.0,65.7,1.3
65.7,1.3,5,179,3369.222742225767,35.0,65.7,1.3
65.7,1.3,6,213,1633.8319475409276,34.0,65.7,1.3
65.7,1.3,7,246,680.4055119047941,33.0,65.7,1.3
65.7,1.3,8,277,274.4575226114141,31.0,65.7,1.3
65.7,1.3,9,302,125.03093670538856,25.0,65.7,1.3
65.7,1.6,15,444,228.5083341649205,18.0,65.7,1.6
65.7,1.6,14,426,341.3248820508351,18.0,65.7,1.6
65.7,1.6,16,464,147.21989367258342,20.0,65.7,1.6
65.7,1.6,12,386,770.6221228592302,16.0,65.7,1.6
65.7,1.6,1,40,231.19976927826607,,65.7,1.6
65.7,1.6,2,78,1083.436662475024,38.0,65.7,1.6
65.7,1.6,3,108,2466.6704721068813,30.0,65.7,1.6
65.7,1.6,13,408,455.09377154447816,22.0,65.7,1.6
65.7,1.6,5,178,4994.2651530951125,33.0,65.7,1.6
65.7,1.6,6,212,5085.070581631384,34.0,65.7,1.6
65.7,1.6,4,145,4016.8576250926913,37.0,65.7,1.6
65.7,1.6,8,280,3375.08135688513,34.0,65.7,1.6
65.7,1.6,9,313,2252.707752461322,33.0,65.7,1.6
65.7,1.6,10,346,1379.3536466374474,33.0,65.7,1.6
65.7,1.6,11,370,842.7297921702556,24.0,65.7,1.6
65.7,1.6,7,246,4387.464294836752,34.0,65.7,1.6
65.8,1.6,6,226,4049.8430845774674,36.0,65.8,1.6
65.8,1.6,1,34,100.63674315240183,,65.8,1.6
65.8,1.6,2,75,532.987476099788,41.0,65.8,1.6
65.8,1.6,3,114,1421.5290594165172,39.0,65.8,1.6
65.8,1.6,4,151,2499.6666463086494,37.0,65.8,1.6
65.8,1.6,5,190,3493.5383471152304,39.0,65.8,1.6
65.8,1.6,7,264,4040.765643180886,38.0,65.8,1.6
65.8,1.6,20,570,104.97737797185718,16.0,65.8,1.6
65.8,1.6,9,304,3396.3705026077,20.0,65.8,1.6
65.8,1.6,19,554,131.61425195821022,19.0,65.8,1.6
65.8,1.6,18,535,196.1608889438405,22.0,65.8,1.6
65.8,1.6,17,513,269.92648948299075,19.0,65.8,1.6
65.8,1.6,16,494,401.5927011518548,18.0,65.8,1.6
65.8,1.6,15,476,482.999843620997,20.0,65.8,1.6
65.8,1.6,8,284,2849.2999093837975,20.0,65.8,1.6
65.8,1.6,14,456,711.2818639941333,17.0,65.8,1.6
65.8,1.6,13,439,787.756943226387,26.0,65.8,1.6
65.8,1.6,12,413,1191.7715449170068,35.0,65.8,1.6
65.8,1.3,1,38,3073.9066827819843,,65.8,1.3
65.8,1.3,2,76,6454.394754096972,38.0,65.8,1.3
65.8,1.3,3,114,7246.628357738115,38.0,65.8,1.3
65.8,1.3,4,151,5670.644013979925,37.0,65.8,1.3
65.8,1.3,5,187,3474.5319362103164,36.0,65.8,1.3
65.8,1.3,6,223,1837.7130240692263,36.0,65.8,1.3
65.8,1.3,7,250,903.3931292912996,27.0,65.8,1.3
65.8,1.6,10,339,2616.9311715770373,35.0,65.8,1.6
65.8,1.3,12,348,116.3499220739424,16.0,65.8,1.3
65.8,1.3,11,332,149.02941112219878,20.0,65.8,1.3
65.8,1.3,10,312,298.0068196078076,23.0,65.8,1.3
65.8,1.3,9,289,381.0998086848819,20.0,65.8,1.3
65.8,1.6,11,378,1811.693060162802,39.0,65.8,1.6
65.8,1.3,8,269,772.8861521907639,19.0,65.8,1.3
66.0,1.3,11,420,122.08346116482323,20.0,66.0,1.3
66.0,1.3,10,400,182.05207732874155,24.0,66.0,1.3
66.0,1.3,9,376,283.6115851810196,47.0,66.0,1.3
66.0,1.3,8,329,591.4948431970261,41.0,66.0,1.3
66.0,1.3,7,288,1176.5102608336902,42.0,66.0,1.3
66.0,1.3,3,119,5184.063427606845,45.0,66.0,1.3
66.0,1.3,5,206,3462.9826364758196,44.0,66.0,1.3
66.0,1.3,4,162,4722.290554077383,43.0,66.0,1.3
66.0,1.3,2,74,4001.587280614897,41.0,66.0,1.3
66.0,1.3,1,33,1667.4669098806062,,66.0,1.3
66.0,1.3,6,246,2156.8403100082264,40.0,66.0,1.3
66.0,1.6,21,640,199.52128982293945,18.0,66.0,1.6
66.0,1.6,18,574,430.89339265240847,19.0,66.0,1.6
66.0,1.6,19,599,329.9774222353422,25.0,66.0,1.6
66.0,1.6,1,56,120.39814486718151,,66.0,1.6
66.0,1.6,2,78,253.7355274763096,22.0,66.0,1.6
66.0,1.6,3,119,747.0082751260938,41.0,66.0,1.6
66.0,1.6,4,135,715.5341888787196,16.0,66.0,1.6
66.0,1.6,5,163,1464.261271800081,28.0,66.0,1.6
66.0,1.6,6,199,2286.352178679183,36.0,66.0,1.6
66.0,1.6,7,245,2942.483436294992,46.0,66.0,1.6
66.0,1.6,20,622,237.8829228875118,23.0,66.0,1.6
66.0,1.6,8,288,3251.6833842147203,43.0,66.0,1.6
66.0,1.6,10,353,2413.720265307582,26.0,66.0,1.6
66.0,1.6,12,410,2100.931898931946,36.0,66.0,1.6
66.0,1.6,13,452,1573.4318399351114,42.0,66.0,1.6
66.0,1.6,14,480,1127.338368205972,28.0,66.0,1.6
66.0,1.6,15,496,1049.406271382181,16.0,66.0,1.6
66.0,1.6,16,533,694.4893444806232,37.0,66.0,1.6
66.0,1.6,17,555,561.1317222630717,22.0,66.0,1.6
66.0,1.6,9,327,3117.469207781039,39.0,66.0,1.6
66.0,1.6,11,374,2696.330839378534,21.0,66.0,1.6
