distance between subsequent peaks,65.7V gain,65.1V gain,66.3V gain,66.0V gain,65.4V gain
1,16,30.0,16.0,17.0,47.0
2,20,27.0,29.0,16.0,35.0
3,40,26.0,26.0,53.0,32.0
4,39,21.0,16.0,17.0,26.0
5,28,20.0,28.0,15.0,15.0
6,20,17.0,16.0,16.0,15.0
7,19,18.0,19.0,16.0,18.0
8,17,19.0,20.0,18.0,16.0
9,16,20.0,15.0,15.0,19.0
10,16,17.0,15.0,16.0,16.0
11,17,21.0,16.0,15.0,17.0
12,15,,16.0,16.0,24.0
13,18,,21.0,18.0,15.0
14,29,,16.0,15.0,19.0
15,16,,19.0,18.0,
16,19,,17.0,15.0,
17,22,,16.0,17.0,
18,20,,16.0,18.0,
19,17,,16.0,16.0,
20,36,,17.0,15.0,
21,21,,,15.0,
22,17,,,,
23,22,,,,
24,22,,,,
25,18,,,,
26,17,,,,
27,17,,,,
28,20,,,,
29,15,,,,
30,19,,,,
31,22,,,,
32,17,,,,
33,18,,,,
34,20,,,,
35,25,,,,
36,19,,,,
37,18,,,,
38,15,,,,
39,16,,,,
40,35,,,,
41,21,,,,
42,15,,,,
43,15,,,,
44,15,,,,
45,15,,,,
46,15,,,,
47,27,,,,
48,21,,,,
49,17,,,,
50,17,,,,
51,20,,,,
52,15,,,,
53,15,,,,
54,17,,,,
55,19,,,,
56,16,,,,
57,24,,,,
58,19,,,,
59,23,,,,
60,17,,,,
61,15,,,,
62,15,,,,
63,15,,,,
64,16,,,,
65,22,,,,
66,15,,,,
67,17,,,,
68,19,,,,
69,15,,,,
70,21,,,,
71,20,,,,
72,20,,,,
73,19,,,,
74,15,,,,
75,15,,,,
76,43,,,,
77,35,,,,
78,29,,,,
79,15,,,,
80,15,,,,
81,18,,,,
82,15,,,,
83,17,,,,
84,15,,,,
85,15,,,,
86,15,,,,
87,18,,,,
88,15,,,,
89,19,,,,
90,15,,,,
91,20,,,,
92,21,,,,
93,15,,,,
94,48,,,,
95,26,,,,
96,15,,,,
97,28,,,,
98,15,,,,
99,24,,,,
100,19,,,,
101,15,,,,
102,17,,,,
103,17,,,,
104,17,,,,
105,16,,,,
106,15,,,,
107,22,,,,
108,17,,,,
109,21,,,,
110,16,,,,
111,15,,,,
112,36,,,,
113,28,,,,
114,15,,,,
115,22,,,,
116,15,,,,
117,16,,,,
118,15,,,,
119,15,,,,
120,18,,,,
121,20,,,,
122,17,,,,
123,17,,,,
124,15,,,,
125,15,,,,
126,18,,,,
127,16,,,,
128,22,,,,
129,18,,,,
130,36,,,,
131,22,,,,
132,17,,,,
133,20,,,,
134,15,,,,
135,16,,,,
136,15,,,,
137,22,,,,
138,19,,,,
139,24,,,,
140,16,,,,
141,16,,,,
142,15,,,,
143,15,,,,
144,15,,,,
145,28,,,,
146,16,,,,
