distance between subsequent peaks,CH1@DT5720B_75_EspectrumR_65_1_gain_1_0_300s_20250403_155605.txt,CH1@DT5720B_75_EspectrumR_66_3_gain_1_0_300s_20250403_160237.txt,CH1@DT5720B_75_EspectrumR_66_gain_1_0_300s_20250403_154508.txt,CH1@DT5720B_75_EspectrumR_0_0_300s_20250403_152658.txt,CH1@DT5720B_75_EspectrumR_65_4_gain_1_0_300s_20250403_155046.txt,CH1@DT5720B_75_EspectrumR_1_0_300s_20250403_153921.txt
1,30.0,16.0,17,15.0,47.0,21.0
2,27.0,29.0,16,15.0,35.0,15.0
3,26.0,26.0,53,43.0,32.0,48.0
4,21.0,16.0,17,35.0,26.0,26.0
5,20.0,28.0,15,29.0,15.0,15.0
6,17.0,16.0,16,15.0,15.0,28.0
7,18.0,19.0,16,15.0,18.0,15.0
8,19.0,20.0,18,18.0,16.0,24.0
9,20.0,15.0,15,15.0,19.0,19.0
10,17.0,15.0,16,17.0,16.0,15.0
11,21.0,16.0,15,15.0,17.0,17.0
12,,16.0,16,15.0,24.0,17.0
13,,21.0,18,15.0,15.0,17.0
14,,16.0,15,18.0,19.0,16.0
15,,19.0,18,15.0,,15.0
16,,17.0,15,19.0,,22.0
17,,16.0,17,15.0,,17.0
18,,16.0,18,20.0,,21.0
19,,16.0,16,,,
20,,17.0,15,,,
21,,,15,,,
