distance between subsequent peaks,CH0@DT5720B_75_EspectrumR_65_1_gain_1_0_300s_20250403_155605.txt,CH0@DT5720B_75_EspectrumR_66_3_gain_1_0_300s_20250403_160237.txt,CH0@DT5720B_75_EspectrumR_66_gain_1_0_300s_20250403_154508.txt,CH0@DT5720B_75_EspectrumR_0_0_300s_20250403_152658.txt,CH0@DT5720B_75_EspectrumR_65_4_gain_1_0_300s_20250403_155046.txt,CH0@DT5720B_75_EspectrumR_1_0_300s_20250403_153921.txt
1,19.0,18,46.0,39.0,32.0,51.0
2,15.0,23,20.0,33.0,26.0,17.0
3,31.0,20,19.0,30.0,24.0,17.0
4,15.0,15,19.0,34.0,21.0,20.0
5,19.0,18,16.0,15.0,25.0,18.0
6,,21,28.0,17.0,15.0,26.0
7,,16,16.0,16.0,15.0,16.0
8,,16,18.0,16.0,16.0,22.0
9,,15,20.0,21.0,20.0,17.0
10,,17,16.0,17.0,17.0,17.0
11,,15,16.0,21.0,21.0,16.0
12,,15,18.0,19.0,,20.0
13,,19,16.0,18.0,,15.0
14,,16,16.0,,,23.0
15,,18,20.0,,,16.0
16,,16,18.0,,,23.0
17,,15,16.0,,,34.0
18,,15,24.0,,,
19,,15,,,,
20,,15,,,,
