Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH1,65.4,1.6,1,141,347.1551191632122,N/A
CH1,65.4,1.6,2,176,1422.6521920141015,35
CH1,65.4,1.6,3,211,3014.7376177315355,35
CH1,65.4,1.6,4,246,4457.619261613256,35
CH1,65.4,1.6,5,281,5058.998492947439,35
CH1,65.4,1.6,6,317,4768.52744206175,36
CH1,65.4,1.6,7,352,3816.5026175181874,35
CH1,65.4,1.6,8,387,2741.715633478184,35
CH1,65.4,1.6,9,421,1747.5847607819878,34
CH1,65.4,1.6,10,453,1045.981896432854,32
CH1,65.4,1.6,11,528,282.4238709977881,75
