Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:52:09,CH1,66.0,1.6,1,225,1300.9258336478651,N/A
2025-05-02 00:52:09,CH1,66.0,1.6,2,272,2032.0051906281824,47
2025-05-02 00:52:09,CH1,66.0,1.6,3,322,2534.3675119136115,50
2025-05-02 00:52:09,CH1,66.0,1.6,4,373,2685.1544595596583,51
2025-05-02 00:52:09,CH1,66.0,1.6,5,423,2487.842988996316,50
2025-05-02 00:52:09,CH1,66.0,1.6,6,472,2074.5347150373186,49
2025-05-02 00:52:09,CH1,66.0,1.6,7,523,1598.7609725204643,51
2025-05-02 00:52:09,CH1,66.0,1.6,8,582,1062.0271512853922,59
2025-05-02 00:52:09,CH1,66.0,1.6,9,635,682.2059859404123,53
2025-05-02 00:52:09,CH1,66.0,1.6,10,684,438.40584486425814,49
2025-05-02 00:52:09,CH1,66.0,1.6,11,739,252.32739557169722,55
2025-05-02 00:52:09,CH1,66.0,1.6,12,794,138.87848590357672,55
