Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
66.0,1.3,1,20,1315.7327507609407,N/A
66.0,1.3,2,69,2931.4115791190734,49
66.0,1.3,3,88,2579.137342495336,19
66.0,1.3,4,123,3774.0751952439546,35
66.0,1.3,5,151,2908.856164269182,28
66.0,1.3,6,174,3610.2646606966186,23
66.0,1.3,7,201,2562.3456445888723,27
66.0,1.3,8,224,2794.4930948808365,23
66.0,1.3,9,271,1923.0438097751692,47
66.0,1.3,10,310,1208.428791478523,39
66.0,1.3,11,326,1195.3190768626557,16
66.0,1.3,12,343,1002.1569925585432,17
66.0,1.3,13,360,766.6470253749359,17
66.0,1.3,14,377,663.7014500885442,17
66.0,1.3,15,397,536.3963310759577,20
66.0,1.3,16,419,393.1283074874376,22
66.0,1.3,17,437,334.0266434710662,18
66.0,1.3,18,456,245.41506475708306,19
66.0,1.3,19,473,198.4172951887804,17
66.0,1.3,20,493,168.95498462851342,20
66.0,1.3,21,508,117.36556388354005,15
