Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference,Channel (from filename),Gain Voltage (from filename),Pulse Height (from filename)
2025-05-02 00:28:29,CH0,65.7,1.0,1,141,14923.07581209149,,CH0,65.7,1.0
2025-05-02 00:28:29,CH0,65.7,1.0,2,174,11163.05448468341,33.0,CH0,65.7,1.0
2025-05-02 00:28:29,CH0,65.7,1.0,3,206,4782.157875586131,32.0,CH0,65.7,1.0
2025-05-02 00:28:29,CH0,65.7,1.0,4,242,1475.139644590606,36.0,CH0,65.7,1.0
2025-05-02 00:28:29,CH0,65.7,1.0,5,279,364.2627080727549,37.0,CH0,65.7,1.0
2025-05-02 00:28:29,CH0,65.7,1.3,1,142,4184.613676045123,,CH0,65.7,1.3
2025-05-02 00:28:29,CH0,65.7,1.3,2,175,8082.218540183561,33.0,CH0,65.7,1.3
2025-05-02 00:28:29,CH0,65.7,1.3,3,208,8288.57048802945,33.0,CH0,65.7,1.3
2025-05-02 00:28:29,CH0,65.7,1.3,4,241,5927.434124058732,33.0,CH0,65.7,1.3
2025-05-02 00:28:29,CH0,65.7,1.3,5,274,3354.42611644244,33.0,CH0,65.7,1.3
2025-05-02 00:28:29,CH0,65.7,1.3,6,304,1588.831840966006,30.0,CH0,65.7,1.3
2025-05-02 00:28:29,CH0,65.7,1.3,7,344,625.5597783096689,40.0,CH0,65.7,1.3
2025-05-02 00:28:29,CH0,65.7,1.3,8,380,215.84001145609395,36.0,CH0,65.7,1.3
2025-05-02 00:28:29,CH0,65.7,1.6,1,144,684.3173273574986,,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,2,176,2462.658667861695,32.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,3,210,4507.391263483881,34.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,4,243,5734.006704599882,33.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,5,277,5610.290374888007,34.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,6,310,4499.172088718067,33.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,7,343,3110.6934743523634,33.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,8,375,1909.673178231841,32.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,9,415,991.284984199234,40.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,10,449,482.33261155498576,34.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,1.6,11,485,217.67130071129228,36.0,CH0,65.7,1.6
2025-05-02 00:28:29,CH0,65.7,2.0,1,210,341.58035565348155,,CH0,65.7,2.0
2025-05-02 00:28:29,CH0,65.7,2.0,2,244,833.0933379288666,34.0,CH0,65.7,2.0
2025-05-02 00:28:29,CH0,65.7,2.0,3,277,1602.3372099114868,33.0,CH0,65.7,2.0
2025-05-02 00:28:29,CH0,65.7,2.0,4,310,2481.0108476533624,33.0,CH0,65.7,2.0
2025-05-02 00:28:29,CH0,65.7,2.0,5,344,3253.8395772995545,34.0,CH0,65.7,2.0
2025-05-02 00:28:29,CH0,65.7,2.0,6,377,3670.67981688031,33.0,CH0,65.7,2.0
2025-05-02 00:28:29,CH0,65.7,2.0,7,410,3717.777629252104,33.0,CH0,65.7,2.0
