Channel (from filename),Gain Voltage (from filename),Pulse Height (from filename),Timestamp,Peak Number,Peak Index,Peak Counts
CH0,65.7,1.0,2025-05-05 13:52:23,1,141,14923.07581209149
CH0,65.7,1.3,2025-05-05 13:52:23,1,142,4184.613676045123
CH0,65.7,1.6,2025-05-05 13:52:23,1,144,684.3173273574986
CH0,65.7,2.0,2025-05-05 13:52:23,1,210,341.58035565348155
CH0,65.8,1.0,2025-05-05 13:52:23,1,138,12351.827389608554
CH0,65.8,1.3,2025-05-05 13:52:23,1,139,2917.004465570047
CH0,65.8,1.6,2025-05-05 13:52:23,1,141,465.27956128898177
CH0,65.8,2.0,2025-05-05 13:52:23,1,214,148.7838754217416
CH0,65.9,1.0,2025-05-05 13:52:23,1,134,9915.560541372111
CH0,65.9,1.3,2025-05-05 13:52:23,1,136,2058.2533813025734
CH0,65.9,1.6,2025-05-05 13:52:23,1,138,315.4582862939891
CH0,65.9,2.0,2025-05-05 13:52:23,1,256,206.2799836576842
CH0,66.0,1.0,2025-05-05 13:52:23,1,133,9173.586706129749
CH0,66.0,1.3,2025-05-05 13:52:23,1,134,1777.459790916621
CH0,66.0,1.6,2025-05-05 13:52:23,1,176,767.7008925448641
CH0,66.0,2.0,2025-05-05 13:52:23,1,383,341.2724699759852
CH1,65.7,1.0,2025-05-05 13:52:27,1,131,9853.237086073384
CH1,65.7,1.3,2025-05-05 13:52:27,1,133,2421.202377579545
CH1,65.7,1.6,2025-05-05 13:52:27,1,133,352.8476577903773
CH1,65.7,2.0,2025-05-05 13:52:27,1,223,135.3629696076065
CH1,65.8,1.0,2025-05-05 13:52:27,1,128,8546.000826301412
CH1,65.8,1.3,2025-05-05 13:52:27,1,130,1881.5329221142329
CH1,65.8,1.6,2025-05-05 13:52:27,1,175,1040.8559021617218
CH1,65.8,2.0,2025-05-05 13:52:27,1,269,214.1472510118534
CH1,65.9,1.0,2025-05-05 13:52:27,1,124,7208.198394560556
CH1,65.9,1.3,2025-05-05 13:52:27,1,128,1504.4452700109557
CH1,65.9,1.6,2025-05-05 13:52:27,1,176,817.860018729875
CH1,65.9,2.0,2025-05-05 13:52:27,1,319,278.25659823641604
CH1,66.0,1.0,2025-05-05 13:52:27,1,123,6803.181361634162
CH1,66.0,1.3,2025-05-05 13:52:27,1,121,1344.4175641460554
CH1,66.0,1.6,2025-05-05 13:52:27,1,225,1300.9258336478651
CH1,66.0,2.0,2025-05-05 13:52:27,1,378,123.61901463500244
